STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.009615     -0.039241    -0.006497
    0.020011     -0.043919    -0.014293
    0.029106      0.003898     0.008316
    0.011954     -0.019491     0.000260
    0.015593      0.001299    -0.001559
    0.015073     -0.001559     0.008836
   -0.000260     -0.003378    -0.007796
   -0.017152     -0.022609    -0.009356
    0.019751     -0.040541    -0.013254
    0.020011     -0.012474     0.006757
    0.006757      0.002599     0.022609
    0.029886     -0.003378    -0.015073
   -0.023649      0.001559    -0.009875
   -0.005457     -0.006757     0.007536
    0.036123     -0.031965    -0.012214
    0.017932     -0.019491    -0.002859
    0.028067     -0.011435     0.009356
   -0.009875     -0.002079    -0.003638
   -0.010395     -0.015593    -0.011435
    0.022090     -0.017152    -0.009875
   -0.001819     -0.014033     0.000520
    0.015073     -0.025468     0.006757
    0.011954      0.002599     0.012214
   -0.009615     -0.022869     0.014293
    0.041840      0.003638    -0.016372
    0.017932      0.003638    -0.026507
   -0.024169     -0.029106     0.012214
    0.012214     -0.002599     0.007277
    0.015333     -0.030146     0.000260
    0.019751     -0.013254     0.019231
    0.011694     -0.013773    -0.022869
    0.002339     -0.016892    -0.017412
   -0.003898     -0.008056     0.014813
   -0.013514     -0.020790     0.002079
    0.030146      0.002079     0.002339
    0.037682     -0.015852    -0.013773
    0.016372     -0.019751     0.002339
    0.008056     -0.013254     0.008316
   -0.006237     -0.018711    -0.001299
   -0.011954     -0.012214     0.011175
    0.000520      0.002079    -0.013773
    0.007277      0.011435    -0.004678
    0.021570     -0.001559    -0.000780
    0.037162     -0.029626    -0.022349
